timestamp,elapsed_sec,frame_idx,face_detected,left_eye_points,left_eye_mean_u,left_eye_mean_v,left_eye_std_u,left_eye_std_v,left_eye_speed,left_eye_fb_error,left_eye_confidence,right_eye_points,right_eye_mean_u,right_eye_mean_v,right_eye_std_u,right_eye_std_v,right_eye_speed,right_eye_fb_error,right_eye_confidence,mouth_points,mouth_mean_u,mouth_mean_v,mouth_std_u,mouth_std_v,mouth_speed,mouth_fb_error,mouth_confidence,head_points,head_mean_u,head_mean_v,head_std_u,head_std_v,head_speed,head_fb_error,head_confidence,eye_mean_speed,eye_mean_v,mouth_motion,mouth_motion_v,head_motion,head_motion_v,overall_tracking_confidence,left_eye_point_coverage,right_eye_point_coverage,mouth_point_coverage,head_point_coverage,mean_point_coverage,left_eye_reliable,right_eye_reliable,mouth_reliable,head_reliable,all_roi_reliable,condition
1790268458.117308,0.0004968643188476,1,0,27,-0.9391202330589294,-0.4667623937129974,0.2874172925949096,0.0827081128954887,1.059543251991272,0.0197261907160282,1.0,29,-1.0262819528579712,-0.5257200002670288,0.359035462141037,0.1749879866838455,1.168056845664978,0.0304613653570413,1.0,33,-1.344466209411621,-0.6857489347457886,0.1558118462562561,0.0694517791271209,1.511060357093811,0.0125204231590032,1.0,80,-0.8962198495864868,-0.4296876788139343,0.5144929885864258,0.2921825051307678,1.014011025428772,0.0114273000508546,1.0,1.113800048828125,-0.4962411969900131,1.511060357093811,-0.6857489347457886,1.014011025428772,-0.4296876788139343,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,normal
1790268458.1280084,0.0111973285675048,2,0,27,-1.037346124649048,-0.3375295102596283,0.2313093692064285,0.0940355360507965,1.0964860916137695,0.0077729267068207,1.0,29,-0.9261106252670288,-0.3903640210628509,0.309321790933609,0.2273973822593689,1.034754753112793,0.0192595440894365,1.0,33,-1.2663453817367554,-0.4750162661075592,0.1824665516614914,0.1002328991889953,1.3560643196105957,0.0104223992675542,1.0,80,-0.9108217358589172,-0.2825847566127777,0.4977549314498901,0.2431992292404174,0.9796573519706726,0.0088249770924448,1.0,1.0656204223632812,-0.3639467656612396,1.3560643196105957,-0.4750162661075592,0.9796573519706726,-0.2825847566127777,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,normal
1790268458.1409934,0.0241823196411132,3,0,27,-1.020037055015564,-0.0981767475605011,0.2586931586265564,0.0831296816468238,1.0293525457382202,0.0108177829533815,1.0,29,-0.8693910837173462,-0.1112428829073906,0.3405147492885589,0.1125028058886528,0.8879520297050476,0.0260934773832559,1.0,33,-1.271436333656311,-0.0467580147087574,0.2883364558219909,0.0801863744854927,1.2748888731002808,0.007912409491837,1.0,80,-0.9475030899047852,-0.0604173652827739,0.5064936876296997,0.1812352240085601,0.982897400856018,0.0102993296459317,1.0,0.958652287721634,-0.1047098152339458,1.2748888731002808,-0.0467580147087574,0.982897400856018,-0.0604173652827739,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,normal
1790268458.1563292,0.039518117904663,4,0,27,-1.1090986728668213,0.4128265380859375,0.3247873187065124,0.150558665394783,1.1940072774887085,0.0280605088919401,1.0,29,-0.7284114360809326,0.3583879172801971,0.3987943530082702,0.2659646868705749,0.8310115337371826,0.0219403430819511,1.0,33,-1.1779359579086304,0.5914011001586914,0.1505655795335769,0.1357221901416778,1.3214017152786257,0.0094266850501298,1.0,80,-0.8657997250556946,0.3961683213710785,0.4338268339633941,0.3171886503696441,0.9921163320541382,0.0099768582731485,1.0,1.0125094056129456,0.3856072276830673,1.3214017152786257,0.5914011001586914,0.9921163320541382,0.3961683213710785,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,normal
1790268458.1710725,0.0542614459991455,5,0,24,-4.3113627433776855,-0.5607045292854309,1.3847466707229614,2.1275930404663086,4.775317668914795,0.3612540960311889,0.8888888888888888,24,-2.9063289165496826,-0.1591574400663375,1.2095437049865725,1.4708986282348633,3.2896432876586914,0.2574313580989837,0.8275862068965517,33,-2.805776834487915,0.6051108837127686,0.8600733876228333,0.3161226212978363,2.890036106109619,0.0549045205116272,1.0,77,-2.470717430114746,0.1033925637602806,1.2897964715957642,1.5325075387954712,2.7974140644073486,0.0721498280763626,0.9625,4.032480478286743,-0.3599309846758842,2.890036106109619,0.6051108837127686,2.7974140644073486,0.1033925637602806,0.91974377394636,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,False,False,False,False,False,normal
1790268458.199999,0.0831882953643798,6,0,24,-0.0132706956937909,-0.3127371370792389,0.1143581867218017,0.0980468615889549,0.3323975503444671,0.0049687987193465,1.0,24,-0.0613886527717113,-0.2286599427461624,0.158041700720787,0.12959985435009,0.281089037656784,0.0063801668584346,1.0,33,-0.0907477140426635,-0.3030548095703125,0.059388343244791,0.0872515961527824,0.3223219811916351,0.0034485817886888,1.0,77,-0.0327134579420089,-0.2206121683120727,0.0794423222541809,0.1715717613697052,0.2353637516498565,0.002075596479699,1.0,0.3067432940006256,-0.2706985399127006,0.3223219811916351,-0.3030548095703125,0.2353637516498565,-0.2206121683120727,1.0,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,True,True,True,True,True,normal
1790268458.251932,0.1351211071014404,7,0,24,0.0970490798354148,-0.3773180544376373,0.0881092101335525,0.0872395783662796,0.3969892263412475,0.0057189054787158,1.0,24,0.0105997724458575,-0.1995582580566406,0.0922583267092704,0.1128278598189354,0.2216107696294784,0.0078903073444962,1.0,33,0.0882082879543304,-0.4376576840877533,0.1722252815961837,0.1209049597382545,0.4701464474201202,0.0068659950047731,1.0,77,0.0357723496854305,-0.2801321446895599,0.0918396562337875,0.1993729174137115,0.2993784546852112,0.00280590984039,1.0,0.309299997985363,-0.288438156247139,0.4701464474201202,-0.4376576840877533,0.2993784546852112,-0.2801321446895599,1.0,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,True,True,True,True,True,normal
1790268458.2995486,0.1827375888824463,8,0,24,0.1084124222397804,-0.5113646388053894,0.1279616057872772,0.0894523933529853,0.5364218354225159,0.0082926908507943,1.0,24,0.0181973781436681,-0.2631359100341797,0.1410614848136901,0.1606903970241546,0.3029791712760925,0.0082002142444252,1.0,33,-0.0153225986286997,-0.4958722591400146,0.1164414435625076,0.1127875447273254,0.5089185237884521,0.0088699907064437,1.0,77,0.0507679730653762,-0.3673291802406311,0.1290670484304428,0.2175102829933166,0.3981429934501648,0.0042027756571769,1.0,0.4197005033493042,-0.3872502744197845,0.5089185237884521,-0.4958722591400146,0.3981429934501648,-0.3673291802406311,1.0,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,True,True,False,True,False,normal
1790268458.3516386,0.2348275184631347,9,0,24,0.0513947792351245,-0.4581991732120514,0.0605688840150833,0.0337826050817966,0.4648277461528778,0.0061833043582737,1.0,24,0.0533587150275707,-0.260815292596817,0.1101874634623527,0.1504861265420913,0.3055613040924072,0.0047692595981061,1.0,33,-0.1175527870655059,-0.570669949054718,0.0909549593925476,0.1303283721208572,0.5892919898033142,0.0092098992317914,1.0,77,0.0256066266447305,-0.3656420111656189,0.1185844913125038,0.2322776913642883,0.4045506715774536,0.0034857294522225,1.0,0.3851945251226425,-0.3595072329044342,0.5892919898033142,-0.570669949054718,0.4045506715774536,-0.3656420111656189,1.0,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,True,True,False,True,False,normal
1790268458.3999538,0.2831428050994873,10,0,24,0.124360404908657,-0.4137598574161529,0.0739154294133186,0.0689197406172752,0.438651829957962,0.0043235006742179,1.0,24,0.0409901924431324,-0.2635078430175781,0.0784199610352516,0.1150952577590942,0.2797054946422577,0.0052362880669534,1.0,33,-0.0810685604810714,-0.4324992895126343,0.099498450756073,0.0975558310747146,0.4489198327064514,0.0061452919617295,1.0,77,0.0303301122039556,-0.3168332874774933,0.1143525838851928,0.1942035108804702,0.3505399525165558,0.0033495051320642,1.0,0.3591786623001098,-0.3386338502168655,0.4489198327064514,-0.4324992895126343,0.3505399525165558,-0.3168332874774933,1.0,0.8888888888888888,0.8275862068965517,1.0,0.9625,0.9197437739463601,True,True,True,True,True,normal
