condition,metric,reliable_only,n,mean,median,std,p90,p95,p99,max
normal,eye_mean_speed,False,1324,0.2630409147394146,0.16069175675511355,0.2873871283216349,0.5945133090019227,0.8117585808038706,1.3329144120216354,4.032480478286743
normal,mouth_motion,False,1324,0.2819387607657691,0.1529067978262901,0.3230176042303612,0.6753992795944215,0.9262158155441267,1.6719520330429074,2.890036106109619
normal,head_motion,False,1324,0.23064392016288962,0.1375297382473945,0.24725334385495168,0.5323948085308079,0.6826200842857357,1.210741059780121,2.7974140644073486
blinking,eye_mean_speed,False,1157,0.21380972072269602,0.1069108285009861,0.3720703876572269,0.5143671154975893,0.7181032598018651,1.4003015112877009,9.000135898590088
blinking,mouth_motion,False,1157,0.2160414893344341,0.0944368541240692,0.4031439631160515,0.5064757585525516,0.8123322606086734,1.5567336606979463,8.605998992919922
blinking,head_motion,False,1157,0.1965894665643122,0.0939689427614212,0.3622509367608015,0.46317737698555017,0.6922430396080017,1.3729786348342967,8.595434188842773
fake_drowsy,eye_mean_speed,False,1005,0.5552013010092414,0.4001493006944656,0.7052325253139977,1.0121259927749635,1.2903323590755458,4.396495089530968,9.964101791381836
fake_drowsy,mouth_motion,False,1005,0.7086538477990758,0.5485377311706543,0.7897227585835055,1.2158884525299074,1.5344015598297116,4.735549869537367,11.160347938537598
fake_drowsy,head_motion,False,1005,0.5525944791400611,0.4169146716594696,0.6624133184226862,0.9195050239562991,1.1675868988037108,3.9959001731872683,10.015910148620604
head_nod,eye_mean_speed,False,1083,2.404093254526126,1.098351538181305,2.8765287656629095,6.235933160781862,8.612164974212643,11.573212165832548,18.42185115814209
head_nod,mouth_motion,False,1083,2.2835201206148388,1.2080336809158323,2.491863036143607,5.589172172546387,7.383520650863637,10.138442611694337,15.068320274353027
head_nod,head_motion,False,1083,1.9313398650103522,1.0209028720855713,2.108925204123082,4.7167562484741214,6.392500162124613,8.414166107177751,12.254777908325195
