condition,reliable_all_roi_pct,mean_point_coverage,left_eye_coverage,right_eye_coverage,mouth_coverage,head_coverage
normal,88.595166163142,0.8752022538999046,0.8696990041400918,0.6931190749036358,1.0,0.9379909365558913
blinking,88.93690579083837,0.8019550144808867,0.86757949324478,0.4766061653702104,1.0,0.8636343993085566
fake_drowsy,47.86069651741294,0.7596826571167153,0.7884577114427861,0.60905815748842,0.8555555555555557,0.7856592039800996
head_nod,45.89104339796861,0.5544037871381239,0.5872576177285319,0.46555863342566944,0.6133561457824127,0.5514427516158817
