timestamp,num_tracked_points,mean_u,mean_v,std_u,std_v,mean_speed,forward_backward_error,tracking_confidence
1779438621.9485352,88,-0.49102333188056946,-0.8683454394340515,0.7104504108428955,0.5308182835578918,1.1803126335144043,0.06369186192750931,1.0
1779438622.0130496,87,-0.3932735323905945,-0.43028679490089417,0.8895270228385925,1.268391728401184,1.0651226043701172,0.11042843014001846,0.9886363636363636
1779438622.0391033,87,-0.05643296614289284,-0.058607254177331924,0.21543994545936584,0.1618216335773468,0.2386443018913269,0.013533549383282661,1.0
1779438622.0735424,87,0.02772083505988121,-0.05644085630774498,0.08015617728233337,0.07206135243177414,0.10335364192724228,0.007695201318711042,1.0
1779438622.1053953,87,0.1031837910413742,-0.04044543579220772,0.08979923278093338,0.06831472367048264,0.12817110121250153,0.0069928718730807304,1.0
1779438622.137354,87,0.15184810757637024,-0.026039035990834236,0.07707322388887405,0.044987406581640244,0.16674776375293732,0.0024313696194440126,1.0
1779438622.1690278,87,0.16289757192134857,-0.0018389471806585789,0.0891348272562027,0.05691402032971382,0.18142376840114594,0.004857839085161686,1.0
1779438622.200168,87,0.26435938477516174,0.05752580985426903,0.08749329298734665,0.06832370162010193,0.27778685092926025,0.004518906585872173,1.0
1779438622.231637,87,0.25180667638778687,0.08639701455831528,0.07645385712385178,0.07594502717256546,0.2765163779258728,0.006531560327857733,1.0
1779438622.263635,85,0.10309376567602158,0.02293521724641323,0.6895813345909119,1.1195334196090698,0.7813165783882141,0.0965319350361824,0.9770114942528736
1779438622.312326,85,0.13091862201690674,0.042263615876436234,0.12099902331829071,0.05786252021789551,0.16393092274665833,0.005254774820059538,1.0
1779438622.3461168,85,0.2486162930727005,0.060588523745536804,0.2083979845046997,0.12682846188545227,0.29442018270492554,0.01606186106801033,1.0
1779438622.3765917,85,0.21746250987052917,0.04048461839556694,0.26241615414619446,0.16308581829071045,0.30805641412734985,0.021865464746952057,1.0
1779438622.4110222,85,0.2966184616088867,-0.011380004696547985,0.5245643258094788,0.4628034234046936,0.6007505059242249,0.0816909521818161,1.0
1779438622.4627373,85,0.062283147126436234,-0.06998255103826523,0.22756516933441162,0.1625385582447052,0.22941690683364868,0.018385648727416992,1.0
1779438622.480043,85,0.11687012016773224,-0.008202227763831615,0.2981167435646057,0.2672918438911438,0.32611462473869324,0.020737329497933388,1.0
1779438622.5049639,85,-0.05484780669212341,0.0443163700401783,0.132978156208992,0.09607341885566711,0.13202881813049316,0.009620385244488716,1.0
1779438622.5365393,85,-0.09991885721683502,0.14244726300239563,0.28161412477493286,0.22944562137126923,0.342485636472702,0.02287711761891842,1.0
1779438622.5681405,85,-0.14378932118415833,0.037867289036512375,0.21911311149597168,0.21603445708751678,0.3097016513347626,0.01870093122124672,1.0
1779438622.601845,85,-0.1366875171661377,0.048913754522800446,0.3738497495651245,0.317719429731369,0.42619264125823975,0.032406099140644073,1.0
1779438622.632953,85,-0.05519139766693115,0.008761596865952015,0.08403495699167252,0.06501945108175278,0.10351396352052689,0.004817908629775047,1.0
1779438622.665928,85,-0.04951746389269829,0.042163264006376266,0.0954943522810936,0.055240433663129807,0.10221598297357559,0.006184235215187073,1.0
1779438622.7109299,85,-0.04933543503284454,0.0737665519118309,0.09986244887113571,0.1044459119439125,0.14378495514392853,0.008317185565829277,1.0
1779438622.7442923,85,-0.023840511217713356,0.052946921437978745,0.08701182901859283,0.07006131112575531,0.10792293399572372,0.004219383932650089,1.0
1779438622.7784276,85,-0.0060539692640304565,0.06711497902870178,0.12403971701860428,0.06696910411119461,0.10510583966970444,0.005405488424003124,1.0
1779438622.809727,85,-0.04023365676403046,0.09717479348182678,0.08780835568904877,0.06957539170980453,0.1342516541481018,0.004581829998642206,1.0
1779438622.8437638,85,-0.06099943444132805,0.07346981018781662,0.10515637695789337,0.07199586927890778,0.1227787584066391,0.006095913704484701,1.0
1779438622.8729575,85,-0.04430290684103966,0.0781194344162941,0.12853124737739563,0.06314319372177124,0.13007719814777374,0.006632718723267317,1.0
1779438622.907012,85,-0.10898814350366592,0.08325625956058502,0.0740688294172287,0.05322682857513428,0.15079672634601593,0.0032416805624961853,1.0
1779438622.9392815,85,-0.18079978227615356,0.05742636322975159,0.08653447777032852,0.07597384601831436,0.2045600861310959,0.007851184345781803,1.0
1779438622.9680398,85,-0.2776004672050476,0.03918421268463135,0.16648222506046295,0.0864950492978096,0.31048208475112915,0.005114736966788769,1.0
1779438623.0001588,85,-0.29396289587020874,0.03827604278922081,0.16787870228290558,0.10377524048089981,0.32777878642082214,0.0054191178642213345,1.0
1779438623.0322146,85,-0.24653266370296478,0.04422768950462341,0.1519724577665329,0.09401340782642365,0.27990400791168213,0.00488190446048975,1.0
1779438623.0625618,85,-0.1479768604040146,0.05205203965306282,0.09217587858438492,0.06191036105155945,0.1770142763853073,0.002732948400080204,1.0
1779438623.1111925,85,-0.07123610377311707,0.08792617172002792,0.12140980362892151,0.08009917289018631,0.15781594812870026,0.005587969906628132,1.0
1779438623.1471593,85,-0.050936710089445114,0.07437223196029663,0.10570892691612244,0.06330623477697372,0.11585428565740585,0.003544305684044957,1.0
1779438623.1774902,85,-0.014063038863241673,0.07153428345918655,0.04490995407104492,0.06710973381996155,0.09629727900028229,0.002763967728242278,1.0
1779438623.2109745,85,0.006857658736407757,0.07921609282493591,0.07223782688379288,0.08703573793172836,0.10251209139823914,0.004595550242811441,1.0
1779438623.242403,85,-0.03553951531648636,0.05544272065162659,0.038658544421195984,0.039435334503650665,0.07731041312217712,0.0016768830828368664,1.0
1779438623.27491,85,-0.08057215064764023,0.051480282098054886,0.09921705722808838,0.0614331029355526,0.11681214720010757,0.0038707898929715157,1.0
1779438623.3084295,85,-0.08455128222703934,0.057009708136320114,0.1407453566789627,0.061255186796188354,0.15406163036823273,0.004197202622890472,1.0
1779438623.3381073,85,-0.07393583655357361,0.046554386615753174,0.04745792597532272,0.038063641637563705,0.0975467711687088,0.0015734004555270076,1.0
1779438623.3702946,85,-0.06474950164556503,0.030432846397161484,0.09871324896812439,0.042391881346702576,0.08343882113695145,0.002406724262982607,1.0
1779438623.4025388,85,-0.007645910140126944,0.04539956524968147,0.1144147515296936,0.049305059015750885,0.09165241569280624,0.0029313783161342144,1.0
1779438623.4369729,85,0.013617661781609058,0.02330232597887516,0.029309047386050224,0.04045258089900017,0.04430404305458069,0.0013161158422008157,1.0
1779438623.4639485,85,0.028845932334661484,0.012052647769451141,0.06122451648116112,0.05013836920261383,0.06275446712970734,0.001971303950995207,1.0
1779438623.512335,85,0.06667731702327728,0.016072889789938927,0.08757434785366058,0.04996635019779205,0.10159965604543686,0.0020703780464828014,1.0
1779438623.5432086,85,0.0474700927734375,0.007096952758729458,0.09313908219337463,0.05502592772245407,0.07360178232192993,0.003729764837771654,1.0
1779438623.5762532,85,0.00926100742071867,0.019627830013632774,0.10985449701547623,0.04836241900920868,0.0855584591627121,0.003171671414747834,1.0
1779438623.608229,85,0.035411521792411804,0.046493351459503174,0.10263337939977646,0.06140126287937164,0.11418286710977554,0.0025816818233579397,1.0
1779438623.6391947,85,0.04088691249489784,0.07745002210140228,0.10398639738559723,0.07319475710391998,0.1186939999461174,0.003126886673271656,1.0
1779438623.6729882,85,0.0246786680072546,0.10732637345790863,0.07930607348680496,0.06447388976812363,0.13512659072875977,0.0017667138017714024,1.0
1779438623.7084167,85,0.048049747943878174,0.1479068547487259,0.1461009383201599,0.11047110706567764,0.20545697212219238,0.003434025216847658,1.0
1779438623.7374272,85,0.023323148488998413,0.1747298240661621,0.10841313004493713,0.09935005754232407,0.2054893523454666,0.005079525988548994,1.0
1779438623.771186,85,-0.023357436060905457,0.2448432445526123,0.1115005761384964,0.12682409584522247,0.2733650803565979,0.004263249691575766,1.0
1779438623.803427,85,-0.04115636646747589,0.3020949363708496,0.19652238488197327,0.1724826991558075,0.3622215986251831,0.010325366631150246,1.0
1779438623.835568,85,-0.09667609632015228,0.24039198458194733,0.10654633492231369,0.12231744080781937,0.28354141116142273,0.006673657801002264,1.0
1779438623.8682113,85,-0.16852901875972748,0.2276555746793747,0.09663522243499756,0.12782379984855652,0.3063755929470062,0.0044236560352146626,1.0
1779438623.898561,85,-0.16057918965816498,0.20875656604766846,0.11779080331325531,0.11521102488040924,0.2900463044643402,0.0066644009202718735,1.0
1779438623.9471617,85,-0.18964233994483948,0.16608868539333344,0.0879451334476471,0.08721339702606201,0.2683316767215729,0.004037600476294756,1.0
1779438623.9782183,85,-0.27692100405693054,0.19819480180740356,0.29436829686164856,0.10350829362869263,0.3679594397544861,0.008396071381866932,1.0
1779438624.0075924,85,-0.26752158999443054,0.21144624054431915,0.13474364578723907,0.10585051774978638,0.35961538553237915,0.006849661469459534,1.0
1779438624.0396323,85,-0.22973057627677917,0.16473352909088135,0.1259927749633789,0.08564256876707077,0.3009510636329651,0.005205475725233555,1.0
1779438624.0720155,85,-0.27095499634742737,0.15427514910697937,0.1588752716779709,0.08487030863761902,0.3310907185077667,0.007474660873413086,1.0
1779438624.109247,85,-0.33266136050224304,0.13479094207286835,0.19510820508003235,0.10943114757537842,0.383063942193985,0.007571161724627018,1.0
1779438624.139452,85,-0.37524181604385376,0.07479822635650635,0.22555139660835266,0.06977379322052002,0.40388113260269165,0.005858317017555237,1.0
1779438624.1709173,85,-0.3783133029937744,0.028647029772400856,0.21805666387081146,0.0819312185049057,0.40462398529052734,0.005794846452772617,1.0
1779438624.2005303,85,-0.36022698879241943,-0.000244140625,0.2624313235282898,0.10586196184158325,0.40467098355293274,0.006371659226715565,1.0
1779438624.2342658,85,-0.2586158215999603,-0.009609267115592957,0.1980801671743393,0.08932997286319733,0.2990564703941345,0.0060212016105651855,1.0
1779438624.2647748,85,-0.13404540717601776,-0.009919828735291958,0.14690974354743958,0.06671750545501709,0.18308104574680328,0.002930995309725404,1.0
1779438624.297952,85,-0.047527898102998734,0.0038970946334302425,0.1445174217224121,0.07410717755556107,0.1425105780363083,0.006863211281597614,1.0
1779438624.3494592,85,0.009731517173349857,-0.005655445624142885,0.07953188568353653,0.05713267624378204,0.07671239227056503,0.0052883257158100605,1.0
1779438624.3769872,85,0.07272159308195114,-0.017356423661112785,0.09009172767400742,0.05156688392162323,0.09719148278236389,0.002281287219375372,1.0
1779438624.4109488,85,0.12340877950191498,-0.03055025078356266,0.09718700498342514,0.0737580880522728,0.1501777619123459,0.005376977846026421,1.0
1779438624.4449048,85,0.13779368996620178,-0.025022080168128014,0.09204357862472534,0.06555593013763428,0.15135297179222107,0.0034828167408704758,1.0
1779438624.472176,85,0.15770533680915833,-0.042834293097257614,0.09849535673856735,0.0659426599740982,0.18324261903762817,0.0034640245139598846,1.0
