timestamp,elapsed_sec,frame_idx,face_detected,left_eye_points,left_eye_mean_u,left_eye_mean_v,left_eye_std_u,left_eye_std_v,left_eye_speed,left_eye_fb_error,left_eye_confidence,right_eye_points,right_eye_mean_u,right_eye_mean_v,right_eye_std_u,right_eye_std_v,right_eye_speed,right_eye_fb_error,right_eye_confidence,mouth_points,mouth_mean_u,mouth_mean_v,mouth_std_u,mouth_std_v,mouth_speed,mouth_fb_error,mouth_confidence,head_points,head_mean_u,head_mean_v,head_std_u,head_std_v,head_speed,head_fb_error,head_confidence,eye_mean_speed,eye_mean_v,mouth_speed,mouth_mean_v,head_speed,head_mean_v,overall_tracking_confidence
1790268730.6506562,0.0003647804260253906,1,0,27,0.1800197958946228,0.17091086506843567,0.09610063582658768,0.02338770031929016,0.2558000087738037,0.0032006618566811085,1.0,25,0.07551757991313934,0.08670837432146072,0.16090847551822662,0.08538161963224411,0.20092721283435822,0.005778308492153883,1.0,34,0.31430771946907043,0.12869980931282043,0.05664850026369095,0.07906545698642731,0.3474719524383545,0.004255199804902077,1.0,80,0.07745838165283203,0.057065390050411224,0.2574711740016937,0.22259002923965454,0.3104588985443115,0.008160414174199104,1.0,0.22836361080408096,0.1288096196949482,0.3474719524383545,0.12869980931282043,0.3104588985443115,0.057065390050411224,1.0
1790268730.659577,0.009285449981689453,2,0,27,0.014089513570070267,0.10508502274751663,0.10244395583868027,0.07116294652223587,0.12777717411518097,0.0017694662092253566,1.0,25,-0.14532959461212158,-0.07249206304550171,0.3041068911552429,0.1807621568441391,0.25737708806991577,0.0069595444947481155,1.0,34,0.19458456337451935,-0.05395058915019035,0.11146388947963715,0.10584966093301773,0.21962331235408783,0.0029642372392117977,1.0,80,-0.12311172485351562,-0.03541088104248047,0.33677563071250916,0.26150256395339966,0.33506861329078674,0.005659175105392933,1.0,0.19257713109254837,0.01629647985100746,0.21962331235408783,-0.05395058915019035,0.33506861329078674,-0.03541088104248047,1.0
1790268730.6667454,0.016453981399536133,3,0,27,-0.24824072420597076,0.0246107317507267,0.19000263512134552,0.06812930107116699,0.2617393136024475,0.0028980285860598087,1.0,25,-0.455078125,-0.22973021864891052,0.34519603848457336,0.12925885617733002,0.5185648202896118,0.010205746628344059,1.0,34,0.07700707018375397,-0.3134033977985382,0.09161081910133362,0.270229697227478,0.3336763381958008,0.007492938544601202,1.0,80,-0.3130817413330078,-0.13605746626853943,0.3770628571510315,0.2929939031600952,0.48559436202049255,0.005736656486988068,1.0,0.39015206694602966,-0.10255974344909191,0.3336763381958008,-0.3134033977985382,0.48559436202049255,-0.13605746626853943,1.0
1790268730.6747637,0.02447223663330078,4,0,27,-0.45209363102912903,-0.17873580753803253,0.1781400740146637,0.1332344114780426,0.495745450258255,0.004022666253149509,1.0,25,-0.7442065477371216,-0.47848570346832275,0.18817532062530518,0.14468914270401,0.9006611704826355,0.020627057179808617,1.0,34,-0.2789571285247803,-0.7467597723007202,0.18600428104400635,0.23555438220500946,0.8156984448432922,0.008536054752767086,1.0,80,-0.49357375502586365,-0.3543933928012848,0.2797054946422577,0.36928436160087585,0.7192294001579285,0.008159928023815155,1.0,0.6982033103704453,-0.32861075550317764,0.8156984448432922,-0.7467597723007202,0.7192294001579285,-0.3543933928012848,1.0
1790268730.6846647,0.03437328338623047,5,0,23,-6.866124629974365,-10.7092866897583,1.9496201276779175,0.506057620048523,12.849555015563965,0.21539413928985596,0.8518518518518519,18,-5.126871585845947,-8.203624725341797,3.7208611965179443,2.9784862995147705,10.134790420532227,0.38541179895401,0.72,32,-9.190689086914062,-10.502601623535156,1.44538152217865,1.2566624879837036,14.044881820678711,0.3108820915222168,0.9411764705882353,69,-5.788358211517334,-7.8010358810424805,4.213289737701416,4.1236572265625,10.102761268615723,0.30303096771240234,0.8625,11.492172718048096,-9.456455707550049,14.044881820678711,-10.502601623535156,10.102761268615723,-7.8010358810424805,0.8438820806100218
1790268730.736719,0.08642745018005371,6,0,23,0.17861407995224,-0.051662277430295944,0.07206588238477707,0.05103642866015434,0.19231045246124268,0.0023972191847860813,1.0,18,0.1411505788564682,-0.0130327008664608,0.04825083538889885,0.07735247164964676,0.1561015546321869,0.0016931038117036223,1.0,32,0.046970367431640625,-0.026161670684814453,0.07499145716428757,0.042755357921123505,0.09509125351905823,0.0025367415510118008,1.0,69,0.13062363862991333,-0.02147398144006729,0.10513663291931152,0.09733416140079498,0.16139373183250427,0.002306636655703187,1.0,0.17420600354671478,-0.03234748914837837,0.09509125351905823,-0.026161670684814453,0.16139373183250427,-0.02147398144006729,1.0
1790268730.7887716,0.13848018646240234,7,0,23,0.026381783187389374,0.04972308501601219,0.05184886232018471,0.02618350274860859,0.0775141641497612,0.0017925609136000276,1.0,18,-0.02205573208630085,0.08439382165670395,0.05992217734456062,0.057591166347265244,0.11133313179016113,0.002237109700217843,1.0,32,-0.04508829116821289,0.07653331756591797,0.08981463313102722,0.06281141936779022,0.12304925173521042,0.0024465990718454123,1.0,69,-0.010381062515079975,0.054011911153793335,0.0699266791343689,0.07125968486070633,0.09257272630929947,0.001839703880250454,1.0,0.09442364796996117,0.06705845333635807,0.12304925173521042,0.07653331756591797,0.09257272630929947,0.054011911153793335,1.0
1790268730.8366606,0.1863691806793213,8,0,23,-0.58103346824646,0.15009871125221252,0.23290342092514038,0.040365301072597504,0.6042301058769226,0.0053681801073253155,1.0,18,-0.7049221396446228,-0.0195592250674963,0.20244696736335754,0.12951742112636566,0.7154913544654846,0.006377137266099453,1.0,32,-0.6263003349304199,-0.1453385353088379,0.26768362522125244,0.15627983212471008,0.6567134857177734,0.018252748996019363,1.0,69,-0.5479720830917358,-0.050266653299331665,0.29453521966934204,0.19550201296806335,0.5846958160400391,0.007829315029084682,1.0,0.6598607301712036,0.06526974309235811,0.6567134857177734,-0.1453385353088379,0.5846958160400391,-0.050266653299331665,1.0
1790268730.8888092,0.23851776123046875,9,0,23,-1.4530022144317627,-0.08708257228136063,0.20269986987113953,0.0837167277932167,1.4580354690551758,0.006011401768773794,1.0,18,-1.617636799812317,-0.5751122236251831,0.33418920636177063,0.2561396658420563,1.749796748161316,0.023260505869984627,1.0,32,-1.5207228660583496,-0.9837889671325684,0.21890947222709656,0.31664198637008667,1.8395264148712158,0.013285070657730103,1.0,69,-1.2612793445587158,-0.5053538680076599,0.5288038849830627,0.47934961318969727,1.4284019470214844,0.013670279644429684,1.0,1.6039161086082458,-0.33109739795327187,1.8395264148712158,-0.9837889671325684,1.4284019470214844,-0.5053538680076599,1.0
1790268730.9367716,0.286480188369751,10,0,23,-1.755494475364685,-0.4801536202430725,0.2642010450363159,0.14491154253482819,1.8248889446258545,0.006553841754794121,1.0,18,-1.8771345615386963,-0.9364937543869019,0.42428672313690186,0.2009749859571457,2.1149742603302,0.015098955482244492,1.0,32,-1.7635712623596191,-1.4136667251586914,0.25050243735313416,0.27004942297935486,2.282285690307617,0.015416737645864487,1.0,69,-1.45444655418396,-0.7915056943893433,0.6187530159950256,0.5524894595146179,1.713303804397583,0.014476117677986622,1.0,1.9699316024780273,-0.7083236873149872,2.282285690307617,-1.4136667251586914,1.713303804397583,-0.7915056943893433,1.0
