condition,metric,n,mean,median,std,p95,max
normal,eye_speed,1324,0.2630409147394146,0.1606917567551136,0.2873871283216349,0.8117585808038706,4.032480478286743
normal,eye_vertical,1324,-0.009630883565453415,0.0035428259288891994,0.19241982507267924,0.2362457022070884,0.9924850761890411
normal,mouth_speed,1324,0.2819387607657691,0.1529067978262901,0.3230176042303612,0.9262158155441267,2.890036106109619
normal,mouth_vertical,1324,-0.014467276118852603,0.00690483325161035,0.28061788102915086,0.3307629078626631,1.0625420808792114
normal,head_speed,1324,0.23064392016288962,0.1375297382473945,0.24725334385495168,0.6826200842857357,2.7974140644073486
normal,head_vertical,1324,-0.010407469962544231,0.00449525984004135,0.17356139367603737,0.203092412650585,0.7128192782402039
normal,tracking_confidence,1324,0.999882269082847,1.0,0.0024867796776783706,1.0,1.0
normal,forward_backward_error,1324,0.00612273022999878,0.0022376029373844626,0.012746545136840008,0.024055462298565474,0.1864349506795406
blinking,eye_speed,1157,0.21380972072269602,0.10691082850098604,0.3720703876572269,0.7181032598018651,9.000135898590088
blinking,eye_vertical,1157,-0.0067143920868946595,-0.00766107009258115,0.21637071100732264,0.2632049269974232,0.9699234068393707
blinking,mouth_speed,1157,0.2160414893344341,0.0944368541240692,0.4031439631160515,0.8123322606086734,8.605998992919922
blinking,mouth_vertical,1157,-0.008078882326434096,-0.0048026060685515,0.30605195005721236,0.33352221846580526,1.4404312372207642
blinking,head_speed,1157,0.1965894665643122,0.0939689427614212,0.3622509367608015,0.6922430396080017,8.595434188842773
blinking,head_vertical,1157,-0.007616508530986422,-0.0057588848285377,0.23205991936500103,0.28266634345054703,1.1021175384521484
blinking,tracking_confidence,1157,0.999759687082127,1.0,0.0030172692810353625,1.0,1.0
blinking,forward_backward_error,1157,0.005856115806929967,0.0017899695667437498,0.013885951298950022,0.018488225009059504,0.25392770022153854
fake_drowsy,eye_speed,1005,0.5552013010092414,0.4001493006944656,0.7052325253139977,1.2903323590755458,9.964101791381836
fake_drowsy,eye_vertical,1005,-0.002052501592969299,-0.01466508302837615,0.6800365887482235,0.6563036799430845,6.769947052001953
fake_drowsy,mouth_speed,1005,0.7086538477990758,0.5485377311706543,0.7897227585835055,1.5344015598297116,11.160347938537598
fake_drowsy,mouth_vertical,1005,-0.001486041476146148,-0.0150165557861328,0.8015338837322512,0.851954698562622,7.493494033813477
fake_drowsy,head_speed,1005,0.5525944791400611,0.4169146716594696,0.6624133184226862,1.1675868988037108,10.015910148620604
fake_drowsy,head_vertical,1005,-0.003739484621267487,-0.0046522207558155,0.612557968278389,0.516655123233795,6.047382354736328
fake_drowsy,tracking_confidence,1005,0.9995770852028444,1.0,0.004071798671007353,1.0,1.0
fake_drowsy,forward_backward_error,1005,0.014276706270479077,0.008705579908564624,0.02043705730828019,0.049184146127663496,0.29094049707055086
head_nod,eye_speed,1083,2.404093254526126,1.098351538181305,2.8765287656629095,8.612164974212643,18.42185115814209
head_nod,eye_vertical,1083,-0.002316745597682012,-0.0770531892776489,3.6231922584788285,7.846299266815149,17.915206909179688
head_nod,mouth_speed,1083,2.2835201206148388,1.2080336809158323,2.491863036143607,7.383520650863637,15.068320274353027
head_nod,mouth_vertical,1083,-0.016608376215959772,-0.1048312708735466,3.2894298019285397,7.160608434677123,15.02281665802002
head_nod,head_speed,1083,1.9313398650103522,1.0209028720855713,2.108925204123082,6.392500162124613,12.254777908325195
head_nod,head_vertical,1083,-0.01735105799771854,-0.0794109106063842,2.7314375064594825,6.053221654891967,12.011773109436035
head_nod,tracking_confidence,1083,0.9983052707252783,1.0,0.009911133885081443,1.0,1.0
head_nod,forward_backward_error,1083,0.028542857041398553,0.013903276761993724,0.04086282831897176,0.11041645123623309,0.3891546204686165
