eye_speed,eye_vertical,mouth_speed,mouth_vertical,head_speed,head_vertical,tracking_confidence,forward_backward_error,condition
1.113800048828125,-0.4962411969900131,1.511060357093811,-0.6857489347457886,1.014011025428772,-0.4296876788139343,1.0,0.018533819820731826,normal
1.0656204223632812,-0.3639467656612396,1.3560643196105957,-0.4750162661075592,0.9796573519706726,-0.2825847566127777,1.0,0.01156996178906405,normal
0.9586522877216339,-0.10470981523394585,1.2748888731002808,-0.0467580147087574,0.982897400856018,-0.0604173652827739,1.0,0.013780749868601524,normal
1.0125094056129456,0.3856072276830673,1.3214017152786257,0.5914011001586914,0.9921163320541382,0.3961683213710785,1.0,0.017351098824292376,normal
4.032480478286743,-0.3599309846758842,2.890036106109619,0.6051108837127686,2.7974140644073486,0.1033925637602806,0.91974377394636,0.1864349506795406,normal
0.30674329400062555,-0.27069853991270065,0.3223219811916351,-0.3030548095703125,0.2353637516498565,-0.2206121683120727,1.0,0.004218285961542225,normal
0.30929999798536295,-0.2884381562471389,0.4701464474201202,-0.4376576840877533,0.2993784546852112,-0.2801321446895599,1.0,0.005820279417093775,normal
0.4197005033493042,-0.38725027441978455,0.5089185237884521,-0.4958722591400146,0.3981429934501648,-0.3673291802406311,1.0,0.007391417864710025,normal
0.3851945251226425,-0.3595072329044342,0.5892919898033142,-0.570669949054718,0.4045506715774536,-0.3656420111656189,1.0,0.005912048160098425,normal
0.35917866230010986,-0.33863385021686554,0.4489198327064514,-0.4324992895126343,0.3505399525165558,-0.3168332874774933,1.0,0.00476364645874125,normal
0.47723670303821564,-0.0716501865535974,0.3892208635807037,-0.3773729801177978,0.3189215958118438,-0.1883538961410522,1.0,0.023143855971284148,normal
0.33749881386756897,-0.0227699261158705,0.3357039093971252,-0.3006420731544494,0.2714037597179413,-0.1525938361883163,1.0,0.012869021156802725,normal
0.2128456830978393,-0.18355337530374527,0.4358111321926117,-0.3979182243347168,0.2627526223659515,-0.2356981486082077,1.0,0.004624901921488275,normal
0.2528986781835556,-0.22910816967487335,0.3811830580234527,-0.3584035336971283,0.2428886890411377,-0.2165016084909439,1.0,0.004911862488370299,normal
0.15488709509372706,-0.14029343798756594,0.1832961291074752,-0.1711185276508331,0.1467467248439788,-0.1296759247779846,1.0,0.0027073527162428247,normal
0.0878306627273559,-0.06534067727625364,0.1323482692241668,-0.1226126924157142,0.0969632416963577,-0.0876207202672958,1.0,0.001424519403371925,normal
0.09394224733114234,-0.05984401702880855,0.165821298956871,-0.1133385896682739,0.105470672249794,-0.0730410516262054,1.0,0.0017839740903581752,normal
0.0700745545327663,-0.01209767675027245,0.1109859049320221,-0.0380281396210193,0.0893113911151886,-0.0322031788527965,1.0,0.0013894213334423751,normal
0.0647934172302484,-0.005007425943404087,0.0584181509912014,-0.0065686777234077,0.0572507306933403,-0.0125710619613528,1.0,0.0010748802305897,normal
0.05521717667579645,0.023020108230412,0.0490714684128761,0.0281876064836978,0.0495131835341453,0.0125381667166948,1.0,0.00124369685363485,normal
0.05209167860448355,0.03622341156005855,0.0873560234904289,0.0778077989816665,0.0621443428099155,0.0387444421648979,1.0,0.0008614945836597249,normal
0.0969310589134693,0.0806226730346679,0.1723973304033279,0.1564113795757293,0.0945452600717544,0.0843977481126785,1.0,0.0016116181359393,normal
0.12956387922167775,0.1141869239509105,0.1683428287506103,0.1575997024774551,0.1014633551239967,0.0914744585752487,1.0,0.002543018432334,normal
0.09598680213093755,0.08040142059326165,0.1102191284298896,0.095429390668869,0.0724365413188934,0.0565940551459789,1.0,0.001216391203342875,normal
0.07251089997589585,0.03782939910888665,0.068105511367321,0.0481424033641815,0.0571410991251468,0.0323848985135555,1.0,0.001091092446586075,normal
0.07413744926452635,0.025871594902127898,0.0630210489034652,0.0243377685546875,0.0505842268466949,0.011559622362256,1.0,0.0013518059276975,normal
0.0575839634984731,0.01309045171365135,0.0373777449131011,0.0126985488459467,0.0372131615877151,0.0056423833593726,1.0,0.0008238612208514751,normal
0.042592151090502704,0.00952752400189635,0.0313321091234684,0.009176542982459,0.0313502065837383,0.0024651861749589,1.0,0.00085819007654205,normal
0.0563583262264728,0.018843651399947647,0.095416821539402,-0.0142780654132366,0.0620009452104568,-0.0058494666591286,1.0,0.001408682976034425,normal
0.0635688658803701,0.003932952880859349,0.1241267919540405,-0.0268855243921279,0.0858734101057052,-0.0154490284621715,1.0,0.0014375786413438252,normal
0.06988481245934955,0.0110753379995003,0.1682396978139877,-0.0057400790974497,0.1019845604896545,-0.0069084661081433,1.0,0.00101349606120485,normal
0.0659956037998199,0.014477093704044802,0.1369245052337646,0.0171961933374404,0.0965658500790596,0.0109167713671922,1.0,0.001679223816608975,normal
0.082622492685914,0.0456072501838207,0.1591305881738662,0.0473443232476711,0.115083023905754,0.0447270795702934,1.0,0.0017540144617668747,normal
0.13346357271075243,0.0995553359389305,0.231704905629158,0.0927517041563987,0.2023387104272842,0.1179484575986862,1.0,0.002388678927672975,normal
0.25797182321548456,0.2244720384478569,0.367692619562149,0.2420834600925445,0.279889702796936,0.2100118696689605,1.0,0.006754462840035525,normal
0.30034013092517853,0.27045154571533203,0.4952858388423919,0.4056456685066223,0.2783470749855041,0.2422925233840942,1.0,0.0063721748301759,normal
0.25687940418720245,0.236167274415493,0.2105186730623245,0.1658727526664734,0.1945758163928985,0.1570620834827423,1.0,0.0037920586182735245,normal
0.21997872740030283,0.12830892950296394,0.2845533192157745,-0.0233907997608184,0.2379252463579177,0.0584346242249012,1.0,0.004262341477442475,normal
0.35704608261585236,0.03895982075482605,0.8612540364265442,-0.4426944553852081,0.4754089713096618,-0.1193356215953826,1.0,0.009092746127862424,normal
0.4416666030883789,-0.0934219360351562,0.6826457381248474,-0.3405734002590179,0.4319720566272735,-0.1532125174999237,1.0,0.007069370534736624,normal
0.4408298432826996,-0.22620074450969696,0.6197667121887207,-0.4823257029056549,0.4089805483818054,-0.2484745234251022,1.0,0.0083694611676037,normal
0.40557229518890375,-0.18452072143554688,0.3576787710189819,-0.2539506256580353,0.3410642147064209,-0.1644031405448913,1.0,0.0054163642926141255,normal
0.5769759714603424,0.010451316833496052,0.5949068665504456,-0.2839105725288391,0.5124607086181641,-0.1087472066283226,1.0,0.0185315881390124,normal
0.9123636782169342,-0.06586551479995251,0.8560378551483154,-0.2909314632415771,0.8059282898902893,-0.114112950861454,1.0,0.025045847753062803,normal
1.3518781661987305,-0.29279836267232895,1.2119032144546509,-0.2044844180345535,1.095306634902954,-0.1829703152179718,1.0,0.0261053439462557,normal
1.2083170413970947,-0.29283555597066874,0.9389390349388124,-0.1431648880243301,0.9186359643936156,-0.1176841035485267,1.0,0.016302056726999498,normal
0.8808044195175171,-0.15184147655963895,0.7470865249633789,-0.1474678665399551,0.7550750970840454,-0.1045827493071556,1.0,0.01105854474008075,normal
1.0005404651165009,0.0182237606495619,0.9526199102401732,-0.0698829442262649,0.9506731033325196,0.0098284436389803,1.0,0.007379540242254675,normal
1.4157299995422363,0.1478366889059543,1.525212049484253,-0.0200130585581064,1.2805767059326172,0.0897882655262947,1.0,0.0116250864230096,normal
1.507998287677765,0.1447477294132113,1.5313684940338137,0.0731954872608184,1.3173258304595947,0.1305440962314605,1.0,0.00972211058251555,normal
1.179348349571228,0.031991323456168154,1.1756056547164917,-0.0473697558045387,0.9798160791397096,0.0143521791324019,1.0,0.00882557872682805,normal
0.6048656105995178,0.0252316789701581,0.3236871659755707,-0.0490486845374107,0.4200123846530914,-0.005333243869245,1.0,0.006153770664241101,normal
0.1463459245860576,-0.036752700805664104,0.1189614310860633,-0.0928182899951934,0.1595697999000549,-0.0361756160855293,1.0,0.0032167496101464504,normal
0.3459712266921997,-0.18328476324677462,1.176201581954956,-0.5541728734970093,0.729948878288269,-0.2827497124671936,1.0,0.009468712611123874,normal
0.8486630022525787,-0.5040194243192673,1.6839663982391355,-0.8914526700973511,1.0600448846817017,-0.4863314926624298,1.0,0.0162973043043166,normal
0.6004570126533508,-0.3349215164780617,1.0298198461532593,-0.4659881591796875,0.7432156205177307,-0.2849249839782715,1.0,0.0090746541973203,normal
0.33098888397216797,-0.1644576415419578,0.3790179193019867,-0.0308042578399181,0.2941485643386841,-0.0685739889740943,1.0,0.00649651949061075,normal
0.12305751070380211,-0.0365511570125818,0.1261052340269088,0.0764650255441665,0.1176287904381752,0.007010918110609,1.0,0.003065388998947975,normal
0.3005081042647361,-0.016843158751726154,0.4832695722579956,0.2469154149293899,0.526676595211029,0.1589597165584564,1.0,0.0073979145381599005,normal
0.936152458190918,0.186955451965332,1.311813235282898,0.4406890869140625,1.0939637422561646,0.3247627019882202,1.0,0.011709661688655575,normal
0.9525557458400726,0.19438521191477773,1.1581761837005615,0.3944827020168304,0.904534101486206,0.2328564524650573,1.0,0.011678237933665474,normal
0.3320313096046448,0.14397748559713358,0.4423906803131103,0.3326744437217712,0.3156973123550415,0.2131851017475128,1.0,0.006188086350448375,normal
0.16800661385059357,0.1251500435173511,0.2887831032276153,0.2561441957950592,0.2209202200174331,0.1668845862150192,1.0,0.0037430367083288495,normal
0.23944615572690958,0.08285586163401595,0.4153045415878296,0.2237941920757293,0.3792814910411834,0.1346615850925445,1.0,0.00322610395960505,normal
0.6103566735982895,0.0424795150756836,1.0318742990493774,0.1853887438774109,0.7789718508720398,0.0931531265377998,1.0,0.0048418914666398995,normal
0.8126598596572876,-0.007681529968976995,1.117241621017456,0.1268883943557739,0.8612974882125854,0.0177451781928539,1.0,0.008165461476892176,normal
0.6381308436393738,-0.0422875074000331,0.7207326292991638,0.0570489130914211,0.6430408954620361,0.0119579369202256,1.0,0.005701405985746475,normal
0.5063781887292862,-0.08955097198486325,0.475572258234024,-0.0059994785115122,0.5569855570793152,-0.0261335503309965,1.0,0.005056496826000475,normal
0.48685088753700256,-0.14499695971608156,0.3017241060733795,0.0333626493811607,0.4652971923351288,-0.0196301341056823,1.0,0.0036982824094593247,normal
0.453984871506691,-0.0191272093215957,0.4456795156002044,0.1817229241132736,0.5383131504058838,0.1072793900966644,1.0,0.0045588904176838,normal
0.4904652088880539,0.09248955920338625,0.6975131630897522,0.4160817563533783,0.6270415782928467,0.2422877699136734,1.0,0.0070129948435351,normal
0.680741548538208,0.3339653015136719,0.9813433289527892,0.7244248986244202,0.7638989686965942,0.4399126768112182,1.0,0.0072651020018383245,normal
1.2136398553848267,0.9924850761890411,1.0208563804626465,0.8957338929176331,0.9064359068870544,0.7128192782402039,1.0,0.04113944002892817,normal
0.9076888859272003,0.7571255564689636,1.133500576019287,1.0316221714019775,0.8489953279495239,0.7083686590194702,1.0,0.01574817649088795,normal
